# "X"	"Y"	"Inline"	"Crossline"	"Z"	"Amplitude"
# - - - - - - - - - -
1710053.89	5828389.22	1200	1973	524.235963821411133	1e30
1710056.02	5828401.53	1200	1974	524.60169792175293	1e30
1710058.14	5828413.85	1200	1975	524.618446826934814	1e30
1710060.26	5828426.16	1200	1976	524.363279342651367	1e30
1710062.39	5828438.48	1200	1977	523.948192596435547	1e30
1710064.51	5828450.79	1200	1978	523.741781711578369	1e30
1710066.63	5828463.11	1200	1979	523.69958162307739	1e30
1710068.75	5828475.42	1200	1980	522.947072982788086	1e30
1710070.88	5828487.74	1200	1981	521.7888355255127	1e30
1710073.00	5828500.05	1200	1982	522.6016640663147	1e30
1710075.12	5828512.37	1200	1983	523.576855659484863	1e30
1710077.25	5828524.68	1200	1984	523.923039436340332	1e30
1710079.37	5828537.00	1200	1985	523.83267879486084	1e30
1710081.49	5828549.31	1200	1986	523.593604564666748	1e30
1710083.61	5828561.63	1200	1987	523.485183715820313	1e30
1710085.74	5828573.94	1200	1988	523.665010929107666	1e30
1710087.86	5828586.26	1200	1989	523.77176284790039	1e30
1710089.98	5828598.57	1200	1990	523.504137992858887	1e30
1710092.11	5828610.89	1200	1991	523.104429244995117	1e30
1710094.23	5828623.21	1200	1992	522.864580154418945	1e30
1710096.35	5828635.52	1200	1993	522.105276584625244	1e30
1710098.47	5828647.84	1200	1994	521.38829231262207	1e30
1710100.60	5828660.15	1200	1995	521.637022495269775	1e30
1710102.72	5828672.47	1200	1996	522.103011608123779	1e30
1710104.84	5828684.78	1200	1997	522.283792495727539	1e30
1710106.97	5828697.10	1200	1998	522.523224353790283	1e30
1710109.09	5828709.41	1200	1999	522.621750831604	1e30
1710111.21	5828721.73	1200	2000	522.767126560211182	1e30
1710113.33	5828734.04	1200	2001	523.192286491394043	1e30
1710115.46	5828746.36	1200	2002	523.82141351699829	1e30
1710117.58	5828758.67	1200	2003	524.273455142974854	1e30
1710119.70	5828770.99	1200	2004	524.087846279144287	1e30
1710121.83	5828783.30	1200	2005	523.941397666931152	1e30
1710123.95	5828795.62	1200	2006	523.794949054718018	1e30
1710126.07	5828807.93	1200	2007	523.513615131378174	1e30
1710128.19	5828820.25	1200	2008	523.367404937744141	1e30
1710130.32	5828832.56	1200	2009	523.508369922637939	1e30
1710132.44	5828844.88	1200	2010	523.364901542663574	1e30
1710134.56	5828857.19	1200	2011	522.793173789978027	1e30
1710136.69	5828869.51	1200	2012	521.866500377655029	1e30
1710138.81	5828881.83	1200	2013	521.61175012588501	1e30
1710140.93	5828894.14	1200	2014	521.555423736572266	1e30
1710143.05	5828906.46	1200	2015	521.918773651123047	1e30
1710145.18	5828918.77	1200	2016	522.416472434997559	1e30
1710147.30	5828931.09	1200	2017	522.714495658874512	1e30
1710149.42	5828943.40	1200	2018	522.185444831848145	1e30
1710151.55	5828955.72	1200	2019	521.89791202545166	1e30
1710153.67	5828968.03	1200	2020	521.904468536376953	1e30
1710155.79	5828980.35	1200	2021	521.35986089706421	1e30
1710157.92	5828992.66	1200	2022	520.74515819549561	1e30
1710160.04	5829004.98	1200	2023	520.466268062591553	1e30
1710162.16	5829017.29	1200	2024	520.380735397338867	1e30
1710164.28	5829029.61	1200	2025	520.247817039489746	1e30
1710166.41	5829041.92	1200	2026	520.068347454071045	1e30
1710168.53	5829054.24	1200	2027	520.116031169891357	1e30
1710170.65	5829066.55	1200	2028	520.391225814819336	1e30
1710172.78	5829078.87	1200	2029	520.65384387969971	1e30
1710174.90	5829091.18	1200	2030	520.776033401489258	1e30
1710177.02	5829103.50	1200	2031	520.523488521575928	1e30
1710179.14	5829115.82	1200	2032	520.240724086761475	1e30
1710181.27	5829128.13	1200	2033	519.986987113952637	1e30
1710183.39	5829140.45	1200	2034	519.759595394134521	1e30
