# Petrel Points with attributes
# Unit in X and Y direction: m
# Unit in depth: m
VERSION 1
BEGIN HEADER
X
Y
Z
END HEADER
371875.00 4547566.01 -5089.78 
371869.94 4547577.43 -5089.56 
371864.87 4547588.86 -5089.22 
371859.80 4547600.29 -5088.89 
371854.74 4547611.71 -5088.44 
371849.67 4547623.14 -5088.00 
371844.60 4547634.57 -5087.56 
371839.53 4547646.00 -5087.11 
371834.47 4547657.42 -5086.78 
371829.40 4547668.85 -5086.44 
371824.33 4547680.28 -5086.00 
371819.26 4547691.70 -5085.56 
371814.20 4547703.13 -5085.11 
371809.13 4547714.56 -5084.67 
371804.06 4547725.98 -5084.22 
371798.99 4547737.41 -5083.78 
371793.93 4547748.84 -5083.33 
371788.86 4547760.27 -5082.89 
371783.79 4547771.69 -5082.44 
371778.73 4547783.12 -5082.00 
371773.66 4547794.55 -5081.67 
371768.59 4547805.97 -5081.33 
371763.52 4547817.40 -5081.11 
371758.46 4547828.83 -5080.89 
371753.39 4547840.25 -5080.67 
371748.32 4547851.68 -5080.44 
371743.25 4547863.11 -5080.22 
371738.19 4547874.53 -5080.00 
371733.12 4547885.96 -5080.00 
371728.05 4547897.39 -5080.00 
371722.99 4547908.82 -5079.89 
371717.92 4547920.24 -5079.78 
371712.85 4547931.67 -5079.67 
371707.78 4547943.10 -5079.56 
371702.72 4547954.52 -5079.44 
371697.65 4547965.95 -5079.33 
371692.58 4547977.38 -5079.11 
371687.51 4547988.80 -5078.89 
371682.45 4548000.23 -5078.67 
371677.38 4548011.66 -5078.44 
371672.31 4548023.08 -5078.22 
371667.24 4548034.51 -5078.00 
371662.18 4548045.94 -5077.78 
371657.11 4548057.37 -5077.56 
371652.04 4548068.79 -5077.33 
371646.98 4548080.22 -5077.11 
371641.91 4548091.65 -5076.89 
371636.84 4548103.07 -5076.67 
371631.77 4548114.50 -5076.56 
371626.71 4548125.93 -5076.44 
371621.64 4548137.35 -5076.33 
371616.57 4548148.78 -5076.22 
371611.50 4548160.21 -5076.11 
371606.44 4548171.63 -5076.00 
371601.37 4548183.06 -5076.00 
371596.30 4548194.49 -5076.00 
371591.23 4548205.92 -5076.00 
371586.17 4548217.34 -5076.00 
371581.10 4548228.77 -5076.00 
371576.03 4548240.20 -5076.00 
371570.97 4548251.62 -5076.00 
371565.90 4548263.05 -5076.00 
371560.83 4548274.48 -5076.00 
371555.76 4548285.90 -5076.00 
371550.70 4548297.33 -5075.89 
371545.63 4548308.76 -5075.78 
371540.56 4548320.19 -5075.56 
